FantasyPros.com 
2026 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Jahmyr Gibbs,DET,RB,2,1,
2,Bijan Robinson,ATL,RB,4,2,
3,Ja'Marr Chase,CIN,WR,1,-2,
4,Puka Nacua,LAR,WR,3,-1,
5,Jaxon Smith-Njigba,SEA,WR,6,1,
6,Christian McCaffrey,SF,RB,8,2,
7,Jonathan Taylor,IND,RB,10,3,
8,Amon-Ra St. Brown,DET,WR,5,-3,
9,Justin Jefferson,MIN,WR,7,-2,
10,James Cook III,BUF,RB,14,4,
11,Chase Brown,CIN,RB,15,4,
12,A.J. Brown,NE,WR,12,0,
13,CeeDee Lamb,DAL,WR,9,-4,
14,George Pickens,DAL,WR,18,4,
15,De'Von Achane,MIA,RB,20,5,
16,Saquon Barkley,PHI,RB,22,6,
17,Kenneth Walker III,KC,RB,24,7,
18,Derrick Henry,BAL,RB,34,16,
19,Omarion Hampton,LAC,RB,26,7,
20,Brock Bowers,LV,TE,17,-3,
21,Trey McBride,ARI,TE,19,-2,
22,Chris Olave,NO,WR,16,-6,
23,Drake London,ATL,WR,11,-12,
24,Nico Collins,HOU,WR,13,-11,
25,Ashton Jeanty,LV,RB,28,3,
26,Kyren Williams,LAR,RB,42,16,
27,Javonte Williams,DAL,RB,43,16,
28,Zay Flowers,BAL,WR,29,1,
29,DeVonta Smith,PHI,WR,21,-8,
30,Tee Higgins,CIN,WR,38,8,
31,Rashee Rice,KC,WR,27,-4,
32,Malik Nabers,NYG,WR,23,-9,
33,Josh Allen,BUF,QB,25,-8,
34,Drake Maye,NE,QB,35,1,
35,Travis Etienne Jr.,NO,RB,45,10,
36,Tetairoa McMillan,CAR,WR,36,0,
37,Breece Hall,NYJ,RB,39,2,
38,Colston Loveland,CHI,TE,37,-1,
39,Ladd McConkey,LAC,WR,33,-6,
40,Bucky Irving,TB,RB,52,12,
41,Garrett Wilson,NYJ,WR,30,-11,
42,Quinshon Judkins,CLE,RB,60,18,
43,Jaylen Waddle,DEN,WR,32,-11,
44,Emeka Egbuka,TB,WR,41,-3,
45,DJ Moore,BUF,WR,49,4,
46,Lamar Jackson,BAL,QB,31,-15,
47,Joe Burrow,CIN,QB,44,-3,
48,Mike Evans,SF,WR,62,14,
49,Jeremiyah Love,ARI,RB,40,-9,
50,Tucker Kraft,GB,TE,79,29,
51,Parker Washington,JAC,WR,57,6,
52,David Montgomery,HOU,RB,59,7,
53,Luther Burden III,CHI,WR,46,-7,
54,Jameson Williams,DET,WR,53,-1,
55,D'Andre Swift,CHI,RB,50,-5,
56,Davante Adams,LAR,WR,48,-8,
57,Bhayshul Tuten,JAC,RB,65,8,
58,Tyler Warren,IND,TE,51,-7,
59,Terry McLaurin,WAS,WR,47,-12,
60,Rhamondre Stevenson,NE,RB,68,8,
61,Christian Watson,GB,WR,56,-5,
62,Rome Odunze,CHI,WR,61,-1,
63,Jadarian Price,SEA,RB,64,1,
64,Courtland Sutton,DEN,WR,86,22,
65,Jalen Hurts,PHI,QB,54,-11,
66,Carnell Tate,TEN,WR,67,1,
67,Jayden Daniels,WAS,QB,58,-9,
68,DK Metcalf,PIT,WR,77,9,
69,TreVeyon Henderson,NE,RB,69,0,
70,Marvin Harrison Jr.,ARI,WR,66,-4,
71,Cam Skattebo,NYG,RB,55,-16,
72,Jonathon Brooks,CAR,RB,88,16,
73,MarShawn Lloyd,GB,RB,108,35,
74,George Kittle,SF,TE,92,18,
75,Dak Prescott,DAL,QB,74,-1,
76,Trevor Lawrence,JAC,QB,73,-3,
77,Quentin Johnston,LAC,WR,89,12,
78,Jaxson Dart,NYG,QB,95,17,
79,Alec Pierce,IND,WR,99,20,
80,Caleb Williams,CHI,QB,63,-17,
81,Stefon Diggs,WAS,WR,90,9,
82,Brock Purdy,SF,QB,94,12,
83,Rico Dowdle,PIT,RB,82,-1,
84,Michael Pittman Jr.,PIT,WR,78,-6,
85,Tony Pollard,TEN,RB,81,-4,
86,Kyle Pitts Sr.,ATL,TE,76,-10,
87,Brian Thomas Jr.,JAC,WR,80,-7,
88,Tyler Allgeier,ARI,RB,134,46,
89,Harold Fannin Jr.,CLE,TE,75,-14,
90,Chris Godwin Jr.,TB,WR,72,-18,
91,Makai Lemon,PHI,WR,111,20,
92,Jalen Coker,CAR,WR,126,34,
93,KC Concepcion,CLE,WR,106,13,
94,Wan'Dale Robinson,TEN,WR,85,-9,
95,Jaylen Warren,PIT,RB,71,-24,
96,Jordan Addison,MIN,WR,105,9,
97,J.K. Dobbins,DEN,RB,102,5,
98,Jordan Mason,MIN,RB,114,16,
99,Kenny Gainwell,TB,RB,93,-6,
100,Patrick Mahomes II,KC,QB,101,1,
101,Travis Kelce,KC,TE,98,-3,
102,Matthew Stafford,LAR,QB,104,2,
103,Isaiah Likely,NYG,TE,120,17,
104,Justin Herbert,LAC,QB,70,-34,
105,Bo Nix,DEN,QB,96,-9,
106,Jayden Reed,GB,WR,100,-6,
107,Romeo Doubs,NE,WR,127,20,
108,Michael Wilson,ARI,WR,87,-21,
109,Jacory Croskey-Merritt,WAS,RB,115,6,
110,RJ Harvey,DEN,RB,91,-19,
111,Chuba Hubbard,CAR,RB,97,-14,
112,Juwan Johnson,NO,TE,130,18,
113,Malik Willis,MIA,QB,129,16,
114,Jake Ferguson,DAL,TE,122,8,
115,Jared Goff,DET,QB,103,-12,
116,Dallas Goedert,PHI,TE,118,2,
117,Blake Corum,LAR,RB,107,-10,
118,Deebo Samuel Sr.,SF,WR,139,21,
119,Kyle Monangai,CHI,RB,121,2,
120,Xavier Worthy,KC,WR,131,11,
121,Woody Marks,HOU,RB,132,11,
122,Josh Downs,IND,WR,84,-38,
123,Rashid Shaheed,SEA,WR,143,20,
124,Kyler Murray,MIN,QB,113,-11,
125,Caleb Douglas,MIA,WR,230,105,
126,Baker Mayfield,TB,QB,119,-7,
127,Matthew Golden,GB,WR,123,-4,
128,Rachaad White,WAS,RB,109,-19,
129,Khalil Shakir,BUF,WR,128,-1,
130,Mike Washington Jr.,LV,RB,144,14,
131,Aaron Jones Sr.,MIN,RB,117,-14,
132,Sam LaPorta,DET,TE,83,-49,
133,Jordan Love,GB,QB,116,-17,
134,Dalton Kincaid,BUF,TE,112,-22,
135,Daniel Jones,IND,QB,140,5,
136,Mark Andrews,BAL,TE,133,-3,
137,Jakobi Meyers,JAC,WR,110,-27,
138,Tre Tucker,LV,WR,151,13,
139,Tyjae Spears,TEN,RB,137,-2,
140,Keaton Mitchell,LAC,RB,146,6,
141,Chris Bell,MIA,WR,210,69,
142,Braelon Allen,NYJ,RB,169,27,
143,Dontayvion Wicks,PHI,WR,170,27,
144,Dylan Sampson,CLE,RB,145,1,
145,De'Zhaun Stribling,SF,WR,124,-21,
146,Chris Rodriguez Jr.,JAC,RB,135,-11,
147,Jordyn Tyson,NO,WR,141,-6,
148,Malachi Fields,NYG,WR,215,67,
149,Adonai Mitchell,NYJ,WR,159,10,
150,Tyler Shough,NO,QB,125,-25,
151,C.J. Stroud,HOU,QB,138,-13,
152,Sam Darnold,SEA,QB,136,-16,
153,Brian Robinson Jr.,ATL,RB,168,15,
154,Rashod Bateman,BAL,WR,221,67,
155,Isiah Pacheco,DET,RB,208,53,
156,Keenan Allen,IND,WR,175,19,
157,Tank Bigsby,PHI,RB,156,-1,
158,Jalen Nailor,LV,WR,177,19,
159,Jalen McMillan,TB,WR,162,3,
160,Ryan Flournoy,DAL,WR,180,20,
161,Samaje Perine,CIN,RB,251,90,
162,Kaelon Black,SF,RB,209,47,
163,Dalton Schultz,HOU,TE,150,-13,
164,Malik Davis,DAL,RB,219,55,
165,Chig Okonkwo,WAS,TE,153,-12,
166,Jonah Coleman,DEN,RB,142,-24,
167,Hunter Henry,NE,TE,158,-9,
168,Justice Hill,BAL,RB,235,67,
169,Terrance Ferguson,LAR,TE,195,26,
170,Denzel Boston,CLE,WR,147,-23,
171,Ja'Kobi Lane,BAL,WR,201,30,
172,Kayshon Boutte,HOU,WR,161,-11,
173,Calvin Ridley,TEN,WR,200,27,
174,Jerry Jeudy,CLE,WR,163,-11,
175,Ray Davis,BUF,RB,182,7,
176,Tyrone Tracy Jr.,NYG,RB,171,-5,
177,Josh Jacobs,GB,RB,148,-29,
178,Alvin Kamara,NO,RB,160,-18,
179,Cam Ward,TEN,QB,152,-27,
180,Bryce Young,CAR,QB,157,-23,
181,T.J. Hockenson,MIN,TE,176,-5,
182,Aaron Rodgers,PIT,QB,198,16,
183,Brenton Strange,JAC,TE,154,-29,
184,Ty Johnson,BUF,RB,272,88,
185,Greg Dulcich,MIA,TE,241,56,
186,Najee Harris,NYG,RB,229,43,
187,Jauan Jennings,MIN,WR,173,-14,
188,Cade Otton,TB,TE,233,45,
189,Nicholas Singleton,TEN,RB,218,29,
190,Malik Washington,MIA,WR,181,-9,
191,Pat Freiermuth,PIT,TE,222,31,
192,Isaac TeSlaa,DET,WR,217,25,
193,Omar Cooper Jr.,NYJ,WR,178,-15,
194,Jahan Dotson,ATL,WR,313,119,
195,Tank Dell,HOU,WR,249,54,
196,Cooper Kupp,SEA,WR,224,28,
197,Devaughn Vele,NO,WR,242,45,
198,Pat Bryant,DEN,WR,179,-19,
199,Tre' Harris,LAC,WR,174,-25,
200,Tyquan Thornton,KC,WR,266,66,
201,Andrei Iosivas,CIN,WR,301,100,
202,Jalen Tolbert,MIA,WR,327,125,
203,Jaylen Wright,MIA,RB,237,34,
204,Keon Coleman,BUF,WR,258,54,
205,Emmett Johnson,KC,RB,166,-39,
206,DeMario Douglas,NE,WR,300,94,
207,Kendre Miller,NO,RB,278,71,
208,Xavier Legette,CAR,WR,273,65,
209,Kimani Vidal,LAC,RB,196,-13,
210,Evan Engram,DEN,TE,248,38,
211,Mason Taylor,NYJ,TE,277,66,
212,Oronde Gadsden II,LAC,TE,216,4,
213,Ted Hurst III,TB,WR,247,34,
214,Treylon Burks,WAS,WR,360,146,
215,Chris Brooks,GB,RB,253,38,
216,Germie Bernard,PIT,WR,238,22,
217,Zachariah Branch,ATL,WR,223,6,
218,Roschon Johnson,CHI,RB,350,132,
219,Bam Knight,ARI,RB,343,124,
220,Jacoby Brissett,ARI,QB,184,-36,
221,Cyrus Allen,KC,WR,259,38,
222,Geno Smith,NYJ,QB,211,-11,
223,Malik Benson,LV,WR,346,123,
224,Tua Tagovailoa,ATL,QB,274,50,
225,Darnell Mooney,NYG,WR,228,3,
226,Fernando Mendoza,LV,QB,256,30,
227,Kendrick Bourne,ARI,WR,336,109,
228,Deshaun Watson,CLE,QB,281,53,
229,Jaylin Noel,HOU,WR,199,-30,
230,Zach Charbonnet,SEA,RB,149,-81,
231,Isaiah Bond,CLE,WR,302,71,
232,George Holani,SEA,RB,239,7,
233,AJ Barner,SEA,TE,192,-41,
234,Gunnar Helm,TEN,TE,214,-20,
235,Demond Claiborne,MIN,RB,260,25,
236,Brashard Smith,KC,RB,287,51,
237,LeQuint Allen Jr.,JAC,RB,268,31,
238,Isaiah Davis,NYJ,RB,264,26,
239,Jordan James,SF,RB,269,30,
240,Konata Mumpfield,LAR,WR,354,114,
241,Elijah Arroyo,SEA,TE,325,84,
242,Eli Raridon,NE,TE,341,99,
243,Mike Gesicki,CIN,TE,297,54,
244,Olamide Zaccheaus,ATL,WR,344,100,
245,Darnell Washington,PIT,TE,316,71,
246,Kenyon Sadiq,NYJ,TE,203,-43,
247,Travis Hunter,JAC,WR,207,-40,
248,Troy Franklin,DEN,WR,240,-8,
249,Colby Parkinson,LAR,TE,262,13,
250,Jack Bech,LV,WR,255,5,
251,Elic Ayomanor,TEN,WR,263,12,
252,Kirk Cousins,LV,QB,279,27,
253,David Njoku,LAC,TE,257,4,
254,Michael Penix Jr.,ATL,QB,276,22,
255,KaVontae Turpin,DAL,WR,369,114,
256,Shedeur Sanders,CLE,QB,289,33,
257,Michael Mayer,LV,TE,314,57,
258,Mack Hollins,NE,WR,299,41,
259,Bryce Lance,NO,WR,322,63,
260,Sean Tucker,TB,RB,205,-55,
261,Tory Horton,SEA,WR,271,10,
262,Dawson Knox,BUF,TE,338,76,
263,Marvin Mims Jr.,DEN,WR,280,17,
264,Kaleb Johnson,GB,RB,246,-18,
265,Ollie Gordon II,MIA,RB,261,-4,
266,Darren Waller,CAR,TE,304,38,
267,Antonio Williams,WAS,WR,245,-22,
268,Kalif Raymond,CHI,WR,362,94,
269,Seth McGowan,IND,RB,265,-4,
270,Dont'e Thornton Jr.,LV,WR,386,116,
271,Chimere Dike,TEN,WR,267,-4,
272,Adam Randall,BAL,RB,303,31,
273,Joshua Palmer,BUF,WR,340,67,
274,Erick All Jr.,CIN,TE,342,68,
275,Xavier Hutchinson,HOU,WR,323,48,
276,Theo Johnson,NYG,TE,283,7,
277,Emanuel Wilson,SEA,RB,252,-25,
278,Brenen Thompson,LAC,WR,358,80,
279,Tutu Atwell,LAR,WR,379,100,
280,Skyler Bell,BUF,WR,298,18,
281,Cole Kmet,CHI,TE,335,54,
282,Ja'Tavion Sanders,CAR,TE,365,83,
283,Jake Tonges,SF,TE,307,24,
284,Justin Fields,KC,QB,361,77,
285,Anthony Richardson Sr.,IND,QB,376,91,
286,J.J. McCarthy,MIN,QB,348,62,
287,Marcus Mariota,WAS,QB,401,114,
288,Carson Beck,ARI,QB,333,45,
289,Kaytron Allen,WAS,RB,234,-55,
290,Zavion Thomas,CHI,WR,359,69,
